"Players","MIN","FG_Made","FG_Att","THREES_Made","THREES_Att","FT_Made","FT_Att","OREB","DREB","REB","AST","STL","BLK","TO","PF","PLUS_MINUS","PTS","Position","Reason_For_Benching","Played","Player_Id","Player_Id_Str","Team","Opponent","Game_Id","Date","Home","Neutral","OT_Rounds","Season","Season_Type","Result","Playoff_Round"
"M. Bridges","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","Played",TRUE,"3147657","mikal-bridges","PHX","DAL","401070216",2018-10-17,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"T. Chandler","12","0","0","0","0","0","0","0","5","5","0","1","0","0","4","4","0","C","Played",TRUE,"984","tyson-chandler","PHX","DAL","401070216",2018-10-17,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"J. Jackson","28","7","11","3","4","1","2","0","2","2","3","0","1","3","1","10","18","G","Played",TRUE,"4066297","josh-jackson","PHX","DAL","401070216",2018-10-17,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"T. Daniels","4","0","0","0","0","0","0","1","0","1","0","0","0","0","0","-2","0","G","Played",TRUE,"2489530","troy-daniels","PHX","DAL","401070216",2018-10-17,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"E. Okobo","8","1","2","0","1","0","0","0","0","0","1","0","0","0","2","1","2","G","Played",TRUE,"4230550","elie-okobo","PHX","DAL","401070216",2018-10-17,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"D. Bender","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","F","DNP-COACH'S DECISION",FALSE,"4011991","dragan-bender","PHX","DAL","401070216",2018-10-17,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"R. Holmes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","C","DNP-COACH'S DECISION",FALSE,"2993370","richaun-holmes","PHX","DAL","401070216",2018-10-17,TRUE,0,0,2019,"Regular-Season","W","Non-Playoff"
"D. Finney-Smith","30","4","7","2","5","2","2","0","3","3","1","0","3","0","2","-16","12","F","Played",TRUE,"2578185","dorian-finney-smith","DAL","PHX","401070216",2018-10-17,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"D. Jordan","31","5","9","0","0","1","1","4","8","12","1","1","1","0","5","-21","11","C","Played",TRUE,"3442","deandre-jordan","DAL","PHX","401070216",2018-10-17,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"L. Doncic","32","5","16","0","5","0","2","2","6","8","4","0","0","4","3","-18","10","G","Played",TRUE,"3945274","luka-doncic","DAL","PHX","401070216",2018-10-17,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"D. Smith Jr.","28","6","19","1","4","0","0","1","1","2","5","3","0","1","2","-19","13","G","Played",TRUE,"4065697","dennis-smith-jr","DAL","PHX","401070216",2018-10-17,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
"W. Matthews","34","4","10","2","7","5","6","1","1","2","5","1","0","2","0","-15","15","G","Played",TRUE,"4032","wesley-matthews","DAL","PHX","401070216",2018-10-17,FALSE,0,0,2019,"Regular-Season","L","Non-Playoff"
